usr1,usr2
33841,1387211
1075084,5988485
1067313,1385270
288997,434165
72342,505852
33841,1912944
146648,2828992
194198,2828992
1067313,1226674
1273177,2818736
792285,2453479
788587,1516901
82192,136510
1372282,1962045
46271,8835479
218869,8634891
212282,641255
125009,2908342
641255,7250838
1695030,8639146
620271,686203
630373,7534116
76946,396323
634955,5960075
55581,2525897
87069,133141
3497995,3744310
808866,2828992
56154,2661032
189281,899891
2828992,6071306
25430,792285
788587,4250706
23567,4942353
537571,2908342
30863,544704
884982,1514032
1372282,1894914
742786,1695030
1671300,1695030
1826001,3003468
405590,2404390
438326,5902332
2646915,2688004
7210,2608895
69856,5933583
27266,273426
503122,1516901
1076044,4424345
7210,3515929
9211,1161310
133141,634955
1145853,7534116
13743,288997
779141,1962045
2225982,2502438
52238,1756703
1507577,1937524
2608895,2646915
33054,1152071
56748,1712598
33841,5724228
399435,1514032
883095,2537610
209811,1962045
9892,1226674
76946,288997
493975,1376285
72342,2818736
136510,157494
1387211,2828992
1402639,4556198
55581,185943
54906,3828843
435688,6164668
626875,3481577
23567,29755
694259,3481577
711003,1956315
1134263,2169738
57421,176259
459282,6119599
430086,868924
7991310,8343416
570900,6190771
430086,630373
288997,6902645
101455,2170843
2688004,3282780
755148,3497995
42843,156568
132665,368741
36470,1514032
587102,5902332
57421,6212380
438326,1145853
570900,5714991
5043133,5724228
933601,1832244
473,2169738
1231495,2300789
9211,357940
156320,5933583
133141,1616594
36233,185943
9211,2818736
521120,2404390
82192,5934494
503122,690214
755148,1826001
273426,1756703
208550,1076044
7261,9892
1152071,1379848
1507577,1947676
2247283,6902645
288997,3481577
52238,111461
1712598,1826001
440039,5642707
14472,2353363
1379054,4769530
194198,932135
626875,779141
630373,915191
1118283,3003468
25430,6902645
2646915,5988485
186270,1547483
641255,6527694
273426,2908342
33841,4556198
1076044,1507577
56748,233976
86959,1836668
33054,1912944
125009,493975
1912944,3785977
2300789,8343416
2463963,7039321
998313,1379054
6171,185943
435688,5143989
3219133,4759041
933601,2853693
570900,1714705
1962045,2641840
686203,5043133
396323,4035394
915191,986847
156320,7991310
1273177,1507577
1364486,1379054
473,132665
1836668,7991310
2828992,5724228
1387211,2270968
1364486,1419052
7210,2646915
1134263,1231495
233976,986847
14472,460856
20707,194198
33054,52238
405590,887375
156568,5933583
3182384,4724924
742786,2646915
1671300,2229334
1695030,1962045
209803,5642707
57421,125878
438326,899891
3497995,7039321
72342,1451192
405590,2229334
52790,3734289
156320,1067313
1075084,1077837
56154,5934494
136510,1451192
634955,2453479
1548496,5960075
14472,2270968
87069,1937524
278913,1067313
1836668,1937524
1152071,1836668
1067313,6527694
368741,1671300
630373,1912944
2661032,5934494
6171,1451192
23567,72606
792285,3828843
54161,156568
1714705,2908342
4447,1134263
503122,2525897
438326,1387211
36470,587102
1419052,1712598
218869,2247283
2537610,2661032
42843,5871937
1118283,5724228
111461,2277728
402967,1067313
316231,2463963
54161,2225982
46271,430086
460856,965006
899891,3515929
176259,209811
438326,1261542
125878,2608895
111461,883095
435688,493975
125878,438326
938549,2908342
47664,454747
1962045,2828992
883095,1229358
1547483,2908342
899891,2803008
189281,1376285
54161,6808752
755148,6212380
1144573,1372282
1077837,5143989
627271,998313
620271,626875
68636,3282780
72342,4435835
72606,402967
20707,6071306
90131,2853892
884982,1424016
1712598,8634891
2453479,2828992
385822,440039
85051,176259
4447,2169738
20707,288997
788587,2688004
473,54161
13743,7039321
2828992,5043133
1451192,6808752
7210,5642707
938549,8726568
3269965,4556198
912312,915191
56748,82192
288997,2315607
27266,33841
739796,1372282
68605,505852
13217,396323
2300789,2463963
25430,1419052
3079937,6202990
209811,288997
101455,1836668
1739,6551009
72342,189281
634955,755148
25430,2803008
56748,2646915
1947676,3427141
516819,7789569
136510,434165
86959,2646915
7261,739796
711003,3515929
1756703,2908342
503122,739796
157494,8726568
56154,869990
399435,2067052
1947676,6190771
13743,2141080
600122,739796
98936,600122
690214,2300789
133141,2608895
56762,7534116
52790,1145853
63134,1671300
186270,1451192
626875,2463963
93746,194198
6171,912312
473,56748
1376285,1516901
1144573,1385270
1077837,6164668
72606,1956315
2353363,4759041
916926,2270968
6171,52790
46271,278913
1364486,2688004
212282,2075011
30863,2169738
156320,3506284
2046995,7496333
2300789,2404390
27266,7991310
1152071,1894914
156320,631996
288997,5724228
29755,1832244
2502438,5043133
132665,1695030
933601,1714705
156320,5988485
1249940,1754803
986847,1005107
27266,2463963
185943,368741
69856,111461
68605,1507577
3282780,3744310
194198,2225982
146648,2225982
1507577,5960075
47664,1161310
742786,6184862
2067052,4424345
1134263,6527694
998313,4724924
208550,1119331
5960075,8726568
56762,1161310
3828843,8634891
111461,1962045
396323,965006
63134,965006
938549,2223873
912312,7534116
641255,1671300
912312,8343416
883095,1320780
63134,5724228
52238,2525897
5516634,5933583
20707,4868645
385822,1956315
2525897,6071306
1756703,2502438
505852,2853892
33841,3481577
33841,316231
42843,460856
241585,6202990
3079937,3203536
76946,7991310
13743,5871937
334563,516819
87069,2141080
273426,2225982
47664,3749329
1144573,1364486
1739,8639146
72606,620271
52790,2463963
1548496,6184862
3515929,8343416
600122,1836668
4250706,8835479
493975,2075011
1671300,1947676
56748,1514032
1062140,2453479
2453479,5043133
634955,1075084
1145853,2525897
47664,2661032
1516901,5642707
357940,869990
56154,1826001
359482,3269965
690214,7991310
1364486,2453479
1062140,1161310
1739,742786
2141080,2818736
1273177,6808752
3219133,3828843
241585,1894914
539015,884982
1279493,5933583
52790,1261542
1075084,2525897
438326,521120
176259,6527694
1005107,1798463
76946,1385270
3282780,5960075
1758425,7250838
4424345,6213971
68636,1695030
4556198,6184862
125009,7991310
493975,6190771
368741,1798463
570900,2646915
208550,544704
1507577,2270968
537571,868924
55581,98936
2075011,5516634
631996,2411545
57421,7789569
399435,986847
1062140,1836668
3749329,6184862
739796,1161310
25430,6527694
209811,6808752
209811,3515929
627271,3282780
52238,357940
539015,1695030
1714705,7534116
46271,54161
63134,3003468
739796,1451192
33054,55581
1451192,4769530
2818736,3785977
2300789,2537610
2908342,5043133
36470,4556198
1145853,7991310
3011117,6119599
218869,6213971
2169738,7250838
278913,1075084
42843,965006
302697,2075011
33054,2908342
405590,6190771
27266,334563
1514032,6527694
1231495,2853693
232755,399435
7261,1513467
56748,938549
1062140,4724924
68636,6902645
86959,634955
36233,333886
686203,739796
98936,788587
630373,1376285
1695030,5934494
6171,1067313
4447,2502438
185943,582168
521120,2270968
85051,6213971
4447,405590
438326,1226674
460856,7250838
368741,5043133
56762,3515929
13743,1826001
232755,459282
30863,5143989
72342,156568
20707,916926
2828992,4250706
