usr1,usr2
125244,233850
6409,884806
10058,3307455
63463,143012
108366,932401
12662,462474
1003,12548
51565,168013
13691,372376
995,6442
5305,78970
963,103775
1003,6426
38622,84045
8267,61365
11032,1249760
38552,187519
6418,70698
1003,9930
19076,24358
14956,26368
995,9930
1954,41505
14956,71282
995,3658898
22907,89579
39614,371717
41747,361024
128588,167817
13395,44147
69696,372801
6408,3608067
8835,73581
19076,277519
144309,1084354
10047,757676
49070,385185
90075,158449
19076,5160862
6396,32731
13542,584349
6408,34389
55618,540052
14956,50149
1954,874061
9779,451267
6400,205476
6290,6408
108787,2760043
11032,146516
15030,31284
14956,221359
3080,64994
33441,372801
2832618,4652874
549366,884773
67240,1305235
168160,223056
49546,195898
69994,549366
17031,64994
535454,3873100
17715,125244
995,2122
16162,2832618
18143,18860
64475,70698
327307,1459188
6408,16391
1689104,8099636
6408,3180433
963,160699
1831,112398
992,407104
5064,7095
8835,480790
1013109,4504297
451267,462474
39614,134626
90966,198895
49070,372376
995,2856
32731,70891
8260,11032
73581,89579
9326,1411880
27544,122687
8835,394213
5305,8209
18145,128588
995,65645
128588,141869
9779,289092
41747,244389
10058,11032
6442,14005
1954,55618
22359,128588
212938,4066699
32731,79298
34389,874061
963,94127
963,35468
19076,56518
6407,14956
9326,13567
995,18145
12548,549366
41747,883111
18860,140085
89579,239889
995,28106
9326,24358
28294,31284
962,451267
1001,89579
49070,161524
974,135433
2907,125244
1003,769869
34389,205401
6408,884773
6396,70891
966079,975666
3080,35468
5305,6418
9930,141264
44028,125244
31284,63463
9215,180923
128588,729407
2832618,5526484
1954,239889
6408,124633
11306,38622
8961,583276
13395,130877
300887,391036
5305,818343
6400,13798
68080,318560
48889,1969795
17401,138902
6418,8961
29256,31284
6418,1200601
999,128588
31284,1504640
5305,3157286
89579,833142
108787,1575077
19076,19930
320603,1721546
20193,51014
5305,359809
6396,6423
12035,724741
1954,6599
141869,231692
17715,31817
1831,19930
8209,1767861
64994,247459
11032,1767861
13567,289092
89643,128588
6400,6898
128588,155173
128588,354317
39559,535454
36378,38622
8267,11855
962,931422
1276,27544
55621,1956414
6409,8961
11032,68080
8267,44764
6400,17031
14005,1094566
4130,6221
29869,524400
8961,64572
6400,12035
14005,39559
6418,10058
207900,1798463
17715,68080
72660,251509
39559,244389
65730,976281
8209,27543
128588,3180433
14956,31817
289092,535454
70698,134626
962,63463
6408,1200952
250683,540052
20193,391036
9326,55621
6400,146516
9326,9779
17750,66641
974,2013105
8267,574487
63463,155173
89579,103598
963,3180433
28106,43608
90075,1200952
28294,359809
9930,24358
11042,89579
4130,109279
1199,13798
18735,584349
359809,8099636
14107,71551
1199,404238
9858,32731
41505,873961
975666,3608067
1005,8835
38246,64572
11032,180923
11032,18767
6400,280396
31284,69994
90075,1527499
31284,1786383
17903,180176
6409,16281
963,884806
995,419256
17716,195898
1831,45646
999,34351
344213,359809
8267,17952
18263,41505
29128,125007
1565,22907
969,44090
96552,359809
6408,668790
6409,187519
6409,913366
8335,833142
6221,100881
9215,32952
68080,74298
6221,13395
995,248400
168346,1200952
73581,164087
6221,134626
28589,49070
141264,1956414
3215,10047
7095,16391
63463,108787
19076,6087862
124633,3936399
584349,724741
17184,22907
69696,1151360
71551,874055
1831,180923
39489,68080
39559,264561
31284,5332833
1565,34389
1954,326036
1954,22359
10058,1411880
359809,2281316
141869,146516
53131,65645
31284,6503757
18143,89579
124338,480790
10058,2760043
9930,55716
55618,69696
31284,1358257
6407,11032
992,70891
2302,17750
963,3658898
6400,1575077
962,1819502
230112,6492605
974,929884
10058,1575077
963,833142
6400,9779
7095,1020289
974,71750
51014,105379
11306,21815
37213,5013455
6396,108787
97595,359809
68080,2832618
963,913366
36486,125244
974,151239
963,6898
10047,100881
43608,451267
78970,289092
125244,1249760
44028,51565
32731,729407
4476,17903
13395,29128
80501,1530004
1276,8267
8267,15369
963,535454
67240,202665
8209,624186
1003,359809
108787,3608067
29128,161524
51014,2245366
308968,932401
8835,17781
14005,18930
6408,26363
113430,251509
963,1877859
9779,87176
14956,32738
19076,71750
39559,114081
992,108787
995,104557
13395,310434
90075,2379430
6396,29256
11032,73581
48889,134626
27543,320603
1361,8335
14956,2019222
6396,38552
974,71282
9779,113430
43608,734172
535454,567714
41747,289092
974,14956
3180433,6423226
17750,67240
43608,353801
60052,128588
31284,2832618
963,462474
11032,976281
39559,497712
6396,78234
26363,44090
90075,359809
962,221359
17715,70710
10058,72794
16281,134626
43608,124886
9779,1721546
17715,359809
128588,2186895
995,660460
64994,470738
14956,624186
995,8267
14005,307240
7125,12035
6290,6599
10058,32952
17715,2019222
14956,180176
644767,3157286
389235,540052
6408,3936399
73897,3936399
10058,167911
14956,23706
31284,167817
31284,1575077
14005,451267
64994,209755
85840,128588
73897,230112
4130,9779
3164,8267
6216,128588
64994,80638
64994,1020289
32731,39495
974,116993
8835,18886
995,524400
6408,44090
9215,2760043
12662,32952
11961,289092
89579,3272060
1200952,2948730
1179660,1200952
17903,31817
5364,49070
11201,15170
39559,1877859
22907,874074
128588,310434
19076,51014
391036,1942032
11032,212977
535454,913076
17715,168346
6408,258570
1003,12662
12803,73897
10108,11032
134626,207900
11201,14956
999,41505
108787,212977
64572,88607
6408,5160862
9215,51565
32626,142195
6400,6407
19076,28152
974,1997268
7095,65030
995,539505
5364,461361
29128,198895
320704,535454
1003,212977
6993,873862
1199,8835
9215,78768
6400,78768
289092,3921910
108787,478631
8267,77112
19076,3143231
6418,2832618
6396,3860924
1003,4226834
108787,141264
29128,833142
10160,89579
251509,451267
18860,32626
17715,35468
12017,128588
78679,128588
6400,3608067
24358,535454
4796,6418
470616,932401
1954,3080
1005,8335
6423,96552
41747,3491576
22907,71551
10047,966079
41747,344213
372376,931422
6408,168013
883111,2186895
14765,1200952
10047,3566761
963,18263
90075,1027513
